name,location,location,rate,votes,cost,cuisines,lat,lon
Sphyre - Gateway Hotel,Residency Road,Residency Road,3.6,45,1700.0,Finger Food,12.97873964261153,77.6389559892307
Gelato Italiano,Koramangala 5th Block,Jayanagar,3.9,110,200.0,"Ice Cream, Bakery, Desserts",12.946207227589412,77.65940231998707
Trick Or Treat,Brigade Road,Brigade Road,4.2,618,500.0,"Cafe, Burger, Continental, Pizza, Steak",12.948378658822579,77.50433777137526
Mummy's Kitchen,Banaswadi,Kammanahalli,3.5,9,300.0,South Indian,13.03656745320578,77.57056463829335
Oye Hoye,Kalyan Nagar,Kalyan Nagar,3.8,69,300.0,North Indian,12.967215677548447,77.58283093617639
Sri Matha Sagar,Electronic City,Electronic City,2.8,21,250.0,"North Indian, Chinese, South Indian",12.907539478084534,77.6248036042311
Apsara Ice Cream,Koramangala 5th Block,Koramangala 6th Block,4.1,147,200.0,Ice Cream,13.01028089498118,77.63956584569826
Maa Di Hatti,Koramangala 1st Block,Koramangala 5th Block,2.8,137,500.0,North Indian,12.958140971180876,77.61364049344206
InnerChef,Whitefield,Brookefield,3.7,175,500.0,"North Indian, Continental",13.064196203459828,77.55743169908672
Chicken Shawarma Hub,Bellandur,Bellandur,3.1,14,250.0,"Fast Food, Arabian, Beverages",13.029563489198106,77.52820601505695
Once Upon A Flame,HSR,Koramangala 4th Block,4.5,2071,1200.0,"Steak, Continental, Burger, BBQ",13.051461119066975,77.59007626462913
Sapthagiri's Naidu Eating Point,Frazer Town,MG Road,3.4,5,300.0,"South Indian, Biryani",12.919413865630988,77.59322712393944
Mynutrikitchen,HSR,Koramangala 4th Block,3.6,59,300.0,"North Indian, Healthy Food",12.950348892856507,77.56121278977072
Simhapuri Kitchen,Brookefield,Brookefield,4.0,510,800.0,"Andhra, Biryani, Chinese, South Indian",12.902260507317806,77.5316391675089
Nandhana Palace,JP Nagar,JP Nagar,4.3,1079,800.0,"Andhra, Biryani, North Indian, Chinese",13.006200625948592,77.60800774345664
Cafe Ritzz,Indiranagar,Old Airport Road,3.6,40,700.0,"North Indian, Chinese",13.076184659817647,77.55148651813701
Keventers,Jayanagar,Jayanagar,3.9,211,400.0,"Desserts, Beverages, Ice Cream",13.041119157955299,77.56299318792797
China Bowl,Koramangala 6th Block,BTM,3.9,455,1000.0,Chinese,13.014170787255752,77.5668966181627
Namma Biryani,Banashankari,Banashankari,3.6,24,250.0,"Biryani, Chinese, North Indian",12.907469637749843,77.5960246035238
Mist n Creams,Bannerghatta Road,JP Nagar,3.6,10,400.0,Ice Cream,12.966849274831427,77.62401840815046
Karavali Kolimane,Wilson Garden,Koramangala 6th Block,3.7,28,350.0,"Mangalorean, Chinese, North Indian",13.01788864412085,77.56929490798728
Axomi - Taste of Assam,Koramangala 7th Block,BTM,4.0,610,500.0,Assamese,12.975251865866085,77.51915262522253
Scottish Pub,St. Marks Road,Brigade Road,3.9,191,600.0,Finger Food,13.069477586114274,77.61339448879336
Mecaf Family Restaurant,BTM,Koramangala 7th Block,3.9,214,600.0,"North Indian, Chinese, Fast Food, Rolls, Beverages",12.922554111697831,77.67361487728513
Al Taj Fast Food,Vijay Nagar,Rajajinagar,3.2,4,600.0,"Fast Food, North Indian, South Indian, Chinese",13.002970657692224,77.67966862542119
Elmas Restaurant,Koramangala 7th Block,Koramangala 4th Block,3.5,34,650.0,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",13.093322998452843,77.68401966546286
Charminar Kabab Paradise,Frazer Town,MG Road,4.0,106,500.0,"North Indian, Chinese, Mughlai, Kebab",12.975597850113846,77.621006587662
Parathabox,Bellandur,Sarjapur Road,3.8,63,150.0,"Fast Food, North Indian",13.009311229035257,77.66212093091396
Aaha,Brookefield,Brookefield,3.6,94,300.0,"North Indian, Chinese",12.925665172437753,77.63409465996064
Cake Of The Day,Basavanagudi,Basavanagudi,3.2,4,150.0,Bakery,12.964935185378012,77.65823773375529
Hungerbreak 24x7,Koramangala 8th Block,Koramangala 6th Block,3.0,7,300.0,"North Indian, South Indian, Maharashtrian",13.07036725175238,77.69596176038482
Nawabi Zaica,Marathahalli,Marathahalli,3.5,21,600.0,"North Indian, Mughlai, Chinese",12.940824456911619,77.61039826126236
Oven Fresh,Bellandur,Bellandur,3.2,8,600.0,"Bakery, Fast Food",12.921072984450172,77.50112457725427
Fava Bistro,Koramangala 5th Block,BTM,4.4,383,1500.0,"Mediterranean, Pizza, Italian, Beverages",12.952169849192417,77.57591665039558
Nanna Munna Paratha House,BTM,Koramangala 5th Block,4.0,109,300.0,North Indian,13.035708405958152,77.66089602703848
7 to 11 Food Court,Banaswadi,Kammanahalli,3.7,18,200.0,"Fast Food, Burger, North Indian, South Indian",12.9291135517305,77.51377248383852
Amber Rush Restobar,Residency Road,Residency Road,4.1,104,1000.0,"Continental, Chinese, Fast Food",12.905146424596515,77.67387508831423
Multi Cakes,JP Nagar,Jayanagar,3.7,44,200.0,"Bakery, Desserts",13.088554400221055,77.52879711869136
Bangalore Mandarin,Indiranagar,Frazer Town,4.2,975,1100.0,"Chinese, Seafood",13.080610130620503,77.57375377606682
Bonsouth,Koramangala 5th Block,BTM,4.2,2626,1300.0,"Chettinad, Andhra, Kerala",12.944094096199874,77.62929502021912
Vijayalakshmi Veg,Frazer Town,Church Street,3.9,30,200.0,South Indian,13.045432561948028,77.50316720220923
Freshies Gourmet Salads,HSR,Koramangala 4th Block,3.7,17,350.0,"Salad, Healthy Food",12.99050672880586,77.53722625573526
Amaravathi Bar & Restaurant,Jayanagar,Jayanagar,3.7,43,650.0,"North Indian, Chinese, Seafood",13.077993173749336,77.59254530273476
Empire Restaurant,HSR,HSR,3.9,3833,750.0,"North Indian, Mughlai, South Indian, Chinese",12.975639269905644,77.58260165075181
Costa Coffee,Koramangala 4th Block,Koramangala 6th Block,4.0,236,500.0,"Cafe, Fast Food",13.056935196145774,77.53370613078272
Chaithanya Delicacy,Richmond Road,Lavelle Road,3.7,53,600.0,"South Indian, North Indian, Chinese, Beverages",13.097160270149704,77.69295740103401
Special Biriyani,JP Nagar,JP Nagar,2.9,4,300.0,"North Indian, Biryani",12.97049508831914,77.69370554782942
Desi Dhaba,BTM,JP Nagar,3.3,13,400.0,"North Indian, Chinese",12.928556970027913,77.65180064745404
Lassi Shop,Brigade Road,Lavelle Road,3.7,17,200.0,"Beverages, Ice Cream",13.061270195161086,77.59358415021494
McDonald's Play Place,Electronic City,Electronic City,3.7,123,500.0,"Burger, Fast Food",13.026117739461709,77.54909965182532
Bewiched,HSR,BTM,3.4,10,300.0,"Fast Food, Sandwich, Burger",13.041524117148107,77.55052794852082
Udupi Bhavan,HSR,HSR,3.8,170,400.0,"Chinese, North Indian, South Indian",12.97639600909259,77.67223092322531
Bon Sante,Brigade Road,Residency Road,3.6,104,800.0,"Cafe, Continental, Italian",12.95666057263994,77.59554863057014
Naati Manae,JP Nagar,Jayanagar,3.1,10,500.0,"South Indian, Biryani",13.01101652028753,77.69129500495423
Beer Adda,Koramangala 5th Block,Koramangala 4th Block,4.3,548,1000.0,"North Indian, Chinese, Pizza",12.983547238902313,77.69495880394813
House Of Commons,Koramangala 5th Block,Koramangala 5th Block,4.7,4447,1000.0,"Continental, Asian, North Indian",12.955075136294989,77.61924672087459
Foodzoo,HSR,Bellandur,3.7,122,300.0,"North Indian, Chinese, Street Food",13.04972904682524,77.50946735776184
HungerLoft,BTM,BTM,2.5,109,800.0,"North Indian, Chinese, Arabian",13.093665392019851,77.66140122956917
Grubhouse,Indiranagar,Koramangala 6th Block,4.1,337,800.0,"Cafe, Continental",13.000711709265104,77.50617984658737
Bakers Town,BTM,Koramangala 6th Block,3.6,42,600.0,"Cafe, Continental, Fast Food",13.031940896429418,77.6713486163112
Kanti Sweets,New BEL Road,New BEL Road,4.0,132,400.0,"Mithai, Street Food",12.913052347412533,77.68977683526236
Box of Biryani,Koramangala 6th Block,Koramangala 7th Block,3.5,9,400.0,"Biryani, North Indian, Kebab",13.037203347195991,77.61096704678906
Nutri Fit,HSR,Koramangala 5th Block,3.4,5,300.0,Healthy Food,13.034354545272446,77.61237421325008
Bamboo Heights,BTM,Koramangala 6th Block,3.7,113,500.0,"Chinese, Fast Food, Continental",12.957765556006215,77.56674377151397
The Arabian Nights,BTM,BTM,2.6,51,300.0,"Arabian, North Indian, Chinese",13.098057034116987,77.67505736096327
The Kitchen Chef,Old Airport Road,Indiranagar,2.9,94,500.0,"Fast Food, North Indian, Chinese",13.006805546076944,77.66154124521881
Shuddh Desi Khana,Bannerghatta Road,Bannerghatta Road,4.0,597,400.0,North Indian,12.904014239555545,77.69848966405988
Kadala Tarangaa,Banashankari,Jayanagar,3.6,130,600.0,"Mangalorean, Seafood, North Indian",13.030263979445248,77.54804030517079
Freshies Gourmet Salads,HSR,BTM,3.7,17,350.0,"Salad, Healthy Food",13.087078897933559,77.50740762159887
Panchavati Gaurav Thali,Brigade Road,Lavelle Road,4.0,930,800.0,"Rajasthani, Gujarati",13.032463104888425,77.61564132826433
Nutri Rich,Koramangala 7th Block,Koramangala 7th Block,3.8,53,350.0,Healthy Food,13.024068572263443,77.62466894896653
Pecos Classic,Brigade Road,Church Street,4.1,552,1100.0,Finger Food,13.089524731704133,77.59188749869232
Attic Lounge,Koramangala 4th Block,BTM,4.0,1229,700.0,Cafe,13.084928358225728,77.53412001066131
Food N Joyy,RT Nagar,Malleshwaram,3.2,8,300.0,"Fast Food, Chinese, Street Food",13.017545078538257,77.5272602447919
Faasos,Frazer Town,Frazer Town,4.1,38,500.0,"North Indian, Biryani, Fast Food",12.941456504509947,77.56365035611238
Kadai Crust - Amma Veetu Samayal,Indiranagar,Brigade Road,3.8,263,700.0,"Chettinad, South Indian, Biryani",12.903624808209146,77.52854681402978
Biriyani Mane,Jayanagar,Bannerghatta Road,3.7,158,700.0,"Biryani, Chinese, North Indian",13.082882389184991,77.58258657969654
Mr. Anbu'g Ambur Biryani,Richmond Road,Brigade Road,3.2,4,300.0,Biryani,12.939283843174403,77.51048691421921
Fabcafe,MG Road,Residency Road,4.2,63,800.0,"Cafe, Healthy Food",12.991446081146472,77.57744254718786
Kundana,Bannerghatta Road,BTM,3.7,111,800.0,"Andhra, Biryani",13.048395545902798,77.69876236260701
Amaravathi Bar & Restaurant,Jayanagar,JP Nagar,3.7,43,400.0,"North Indian, Chinese, Seafood",12.936747785168485,77.6620089957869
1722 Urban Bistro,Koramangala 5th Block,Koramangala 6th Block,4.1,225,600.0,"North Indian, Chinese, Fast Food, Biryani",13.016221704339701,77.53248112807866
A3 Nuwang Kitchen,Ejipura,Koramangala 7th Block,3.7,42,300.0,"Chinese, North Indian",12.937043143630113,77.50233038275579
Udupi Grand,Koramangala 7th Block,Koramangala 4th Block,2.8,64,300.0,"South Indian, North Indian, Chinese",13.02579767744487,77.56855156273146
Bhairaveshwara Military Hotel,Malleshwaram,Malleshwaram,4.1,133,250.0,"South Indian, Hyderabadi",12.969428119418955,77.64008533672882
Domino's Pizza,Bellandur,Bellandur,3.6,260,800.0,"Pizza, Fast Food",13.001482387743561,77.51133513306729
Appana Restaurant,BTM,Koramangala 7th Block,3.5,12,300.0,North Indian,13.084964320386234,77.64552789717499
Sattvam,JP Nagar,JP Nagar,4.3,357,1200.0,"North Indian, South Indian",12.940630787437994,77.6166624028136
House Stark Cafe,HSR,Koramangala 4th Block,3.9,45,300.0,"Cafe, Desserts, Fast Food, Burger",12.983981509539694,77.59135704067822
Food Square,Malleshwaram,Malleshwaram,3.2,4,250.0,"Chinese, Street Food, Rolls",13.075853725217293,77.59005953642367
Domino's Pizza,Banaswadi,Kammanahalli,3.8,189,400.0,"Pizza, Fast Food",13.014951138131082,77.55645435719255
Desi Doze,Whitefield,Brookefield,3.8,147,400.0,"North Indian, Fast Food",12.968191714287112,77.67870874268066
99 Variety Dosa & Pav Bhaji,Koramangala 6th Block,Koramangala 6th Block,3.8,16,250.0,"South Indian, North Indian, Street Food",13.026047762476582,77.51674143633628
Ganesh Bhavan,Brookefield,Marathahalli,4.0,73,200.0,South Indian,12.991493398460582,77.66293366664148
Punjabi Nukkad Pure Veg,HSR,HSR,4.0,769,500.0,"North Indian, Chinese, Juices",13.020561506453351,77.59828984622052
Polar Bear,Bannerghatta Road,Bannerghatta Road,3.9,188,400.0,"Ice Cream, Desserts, Beverages, Sandwich",12.9044247103058,77.51352697524025
The Local - Terrace Drinkery,Koramangala 6th Block,Koramangala 4th Block,4.0,1409,1000.0,"Continental, American, Pizza, BBQ",13.094906510732475,77.53594448238243
Kargeens,Koramangala 6th Block,Koramangala 6th Block,4.1,992,600.0,"Cafe, Continental, Italian",13.06236215388784,77.55497789634005
Vishwaas Take Away,Marathahalli,Marathahalli,3.2,7,250.0,"North Indian, Chinese",12.983167996286113,77.6618482450765
The Himalayan,Koramangala 5th Block,BTM,4.4,320,1200.0,Korean,13.015751295272,77.53500146585952
Corner House Ice Cream,Indiranagar,Old Airport Road,4.7,2174,400.0,"Ice Cream, Desserts",13.000166253257321,77.62430073592145
Shahi Darbar,Ejipura,Koramangala 5th Block,3.2,5,300.0,"Chinese, North Indian",12.950793279662445,77.52759663427686
Turquoise,JP Nagar,Bannerghatta Road,2.8,56,1200.0,North Indian,13.07435671331844,77.57728973169672
Hungry Birds,Koramangala 7th Block,MG Road,3.2,6,300.0,Chinese,13.043452170295327,77.51024235844316
Five Star Chicken,Jeevan Bhima Nagar,Indiranagar,3.7,68,200.0,"Fast Food, Burger",13.006266158534634,77.62744911989742
The Golden Spoon Restaurant Meat & Wine,Koramangala 7th Block,Koramangala 7th Block,3.5,14,1000.0,"Chinese, North Indian",12.996575024394538,77.62127381019201
New Food Magic,Marathahalli,Brookefield,3.7,114,400.0,"North Indian, Chinese, Biryani",13.038470861230882,77.65152582647696
Sunny Cafe & Kitchen,HSR,HSR,3.8,499,700.0,"Cafe, Continental, Beverages, Desserts",13.068287951991248,77.60982619907337
Bean Flickers,Indiranagar,Old Airport Road,4.3,398,700.0,"Cafe, American, Fast Food, Coffee, Continental",13.079484514245669,77.67384511112526
Andhra Mess,Domlur,Koramangala 6th Block,3.2,128,400.0,"Andhra, Biryani, Chinese",13.009643182130985,77.53289779081123
Punjabi's Food Corner,CV Raman Nagar,Old Airport Road,3.5,89,250.0,"North Indian, Chinese",13.035229935684473,77.62668710235486
Namaste Kitchen,Koramangala 5th Block,Jayanagar,3.8,172,400.0,"North Indian, South Indian, Chinese",12.988070354778651,77.59318243255072
The Tiffin Express,Koramangala 4th Block,Koramangala 4th Block,2.6,16,250.0,South Indian,13.086602974626084,77.63430025090612
Great Moments - Hotel Bangalore International,Race Course Road,Malleshwaram,3.2,2,1100.0,Finger Food,12.946880290744748,77.66104289410336
The Belgian Waffle Co.,Jayanagar,JP Nagar,3.8,151,350.0,"Desserts, Beverages",12.907599567460949,77.5363277779756
Smoke - The Sizzler House,Koramangala 7th Block,Koramangala 4th Block,4.0,1389,1100.0,"Continental, Chinese, Thai, Italian, BBQ, Steak",12.907093917068334,77.6879001499625
Watson's,JP Nagar,Bannerghatta Road,4.0,1010,1300.0,"Finger Food, Chinese, Continental",13.008326842932174,77.6985502546504
Drunkling - Sizzlers and Pub,Koramangala 5th Block,Koramangala 4th Block,4.4,347,1000.0,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",13.09267867567397,77.59382151150096
Juice Junction,St. Marks Road,Church Street,4.0,101,150.0,"Juices, Fast Food",13.08400763282181,77.65156612748676
Manshi Paratha & Pav Bhaji,HSR,HSR,3.2,6,150.0,"North Indian, Fast Food",13.029816120403776,77.56472883362198
Cafe Coffee Day,Sarjapur Road,Koramangala 4th Block,3.1,13,900.0,"Cafe, Fast Food",12.973128432540843,77.52527110360288
Sotally Tober,Residency Road,Residency Road,4.4,232,1200.0,"Asian, Burger, Chinese, Finger Food",12.912260764346893,77.63900052612532
Just Parathas,Brookefield,Brookefield,3.4,5,250.0,North Indian,13.019712598643553,77.58398370430841
Tomago Roast,BTM,Koramangala 4th Block,3.5,12,400.0,"Fast Food, Beverages",13.00333527852107,77.65084680341783
Layla - The Den Bengaluru,Whitefield,Whitefield,3.9,51,2000.0,Mediterranean,12.92399506163186,77.57790600378067
Somilan Steak House,Church Street,Brigade Road,4.3,524,800.0,"North Eastern, Asian, Naga, Steak, Momos",12.993261951228034,77.67215398094562
Baskin Robbins,HSR,HSR,3.7,42,250.0,"Ice Cream, Desserts",12.952526722473214,77.56226761121913
Spicy Corner,Jeevan Bhima Nagar,Old Airport Road,3.9,190,250.0,"Street Food, Fast Food",13.088829560084896,77.54282317818534
Ooty Chocolates,Residency Road,Brigade Road,3.5,17,300.0,Desserts,12.95191528985501,77.55315925227204
Happy Belly Bakes,MG Road,Lavelle Road,4.1,118,500.0,"Cafe, Bakery",13.044595038701724,77.5516087003377
Dilli in a Box,Koramangala 7th Block,BTM,3.7,7,400.0,"Fast Food, North Indian",12.998591394331172,77.60433600650269
Gowdru Hotel,Banaswadi,Kalyan Nagar,3.4,78,400.0,"South Indian, Biryani",12.977466684171338,77.66580121152788
The Lemon Grass Kitchen,Electronic City,Electronic City,3.3,5,300.0,"Chinese, Thai",12.955920286529027,77.67155274058449
Happiness Bars,JP Nagar,JP Nagar,3.2,5,500.0,Desserts,13.051689191399973,77.63482584582255
Muthashy's,BTM,JP Nagar,4.2,467,400.0,"Kerala, South Indian, Chinese",12.989578268968893,77.53312630416532
Grill 99 - The Ritz-Carlton,Residency Road,Residency Road,3.4,12,4000.0,"Steak, Mediterranean, Grill",12.96005396717036,77.67313784322613
Gogula's Sweets & Chats,BTM,BTM,4.0,221,200.0,"Mithai, Street Food, Fast Food",13.043613632240172,77.59131841244324
Madeena Hotel,Koramangala 5th Block,Koramangala 4th Block,4.0,88,400.0,"North Indian, Mughlai, Biryani",13.05570285897051,77.60771116549063
The Cake Lair,BTM,Koramangala 4th Block,3.4,9,600.0,"Bakery, Fast Food, Beverages",12.947948834587653,77.51770927842281
Melt - Eden Park,JP Nagar,Bannerghatta Road,4.0,347,1000.0,"North Indian, Chinese, Thai, Mughlai, Seafood",13.086545696670802,77.57339142255049
Soup'ermanz Kitchen,HSR,HSR,4.1,439,750.0,"Cafe, Continental, Burger",12.914183238287714,77.56400890395206
Aramane Restaurant,Rajajinagar,Malleshwaram,3.0,75,300.0,"South Indian, Chinese, Fast Food",12.937449389787744,77.58733506084792
Sri Krishna Sweets,Indiranagar,Church Street,3.8,33,250.0,Mithai,12.910587187113764,77.52551968136659
Kabsa House,Kalyan Nagar,Kalyan Nagar,3.6,24,500.0,North Indian,12.968974756738643,77.53555325697774
Bistro Oui,Koramangala 5th Block,Jayanagar,4.1,401,1200.0,"Cafe, Continental, Salad, Steak",13.025171679414024,77.67048606653772
Hyderabadi Biriyani,Bellandur,Bellandur,3.4,33,800.0,"Biryani, Hyderabadi, Chinese, North Indian",13.02013021330967,77.64123846965963
Fruit Face,Indiranagar,MG Road,3.7,22,300.0,"Fast Food, Street Food, Beverages",12.975048281378049,77.5805592143424
Uncle's Kitchen,BTM,Koramangala 5th Block,3.3,6,450.0,"North Indian, Chinese, Fast Food",12.968577865919212,77.60053976560194
Sri Vishnu Veg,Marathahalli,Sarjapur Road,3.5,15,200.0,South Indian,12.95112844597992,77.69693393885188
Polar Bear,"Varthur Main Road, Whitefield",Brookefield,4.5,41,300.0,"Desserts, Ice Cream",12.95549293594499,77.68884462831207
Fresh Kitchen,Bannerghatta Road,Basavanagudi,3.4,13,600.0,"North Indian, Chinese",13.037905350206312,77.53384604618003
Malabar Xpress,Koramangala 5th Block,Koramangala 7th Block,3.2,4,300.0,"South Indian, Kerala",13.095668046559316,77.62564615112016
Urban Spoon Buffet Restaurant,Koramangala 5th Block,Koramangala 4th Block,3.5,32,1000.0,"North Indian, Chinese",12.936769145377859,77.56759459328426
Yomama!!,Indiranagar,Indiranagar,4.0,340,800.0,"Continental, Burger, Cafe, Steak",12.922448214398319,77.62479247819904
Ozaa,Lavelle Road,Lavelle Road,3.8,34,1700.0,"Mediterranean, American, Asian",12.934224484396113,77.67351510202364
Biryani Spot,BTM,Jayanagar,3.5,9,300.0,"South Indian, Biryani",13.046141376872576,77.52721213010173
Kenz Karam,Frazer Town,Brigade Road,3.5,10,300.0,"Desserts, Beverages",12.95749233297945,77.50686547038485
Tandoor Nation,BTM,Koramangala 5th Block,3.0,39,400.0,"North Indian, Chinese",13.02138908256764,77.56818666720453
Eden Huts Restaurant,Bellandur,Sarjapur Road,4.0,223,400.0,"Chinese, North Indian",12.97067597738644,77.55767195321538
Kailash Parbat,Malleshwaram,Malleshwaram,3.1,116,600.0,"North Indian, Street Food",12.98281238804267,77.6721107191849
1522 - The Pub,Koramangala 4th Block,Koramangala 4th Block,4.2,1739,1400.0,"Chinese, Continental, North Indian",13.063863752469393,77.61495738745279
Squeez Juice Bars,Bannerghatta Road,BTM,3.3,10,250.0,"Ice Cream, Juices",12.997058126812343,77.64412329269436
DilliBite,Ulsoor,Koramangala 5th Block,3.5,33,600.0,"North Indian, Chinese",13.08425728233602,77.64168533941705
Chutney Chang,Jayanagar,Koramangala 7th Block,4.1,2347,1500.0,"North Indian, Chinese, BBQ",12.951975925289961,77.50306088517571
BANGALORE BOX,BTM,JP Nagar,4.1,627,1500.0,"Asian, Continental, Finger Food",12.997050650918645,77.53107409748436
Chaat Street,New BEL Road,Malleshwaram,4.1,673,250.0,"Street Food, North Indian",13.068490840874503,77.55598050844866
Rannaghar,Jeevan Bhima Nagar,Old Airport Road,3.9,144,600.0,"North Indian, Bengali, Chinese",12.994515586977506,77.62209519618418
Shudh Desi Khana,Koramangala 1st Block,Koramangala 4th Block,3.5,18,200.0,"North Indian, Chinese",12.916008264818288,77.6681523075654
Anamika Roll Centre,Wilson Garden,Koramangala 7th Block,3.2,4,300.0,"North Indian, Fast Food, Rolls",13.094571545896947,77.52574543032665
Iceberg Icecreams,Basavanagudi,Banashankari,4.0,43,250.0,"Desserts, Ice Cream",13.058962260708329,77.66816898782652
Nutrition on Wheels,BTM,Koramangala 6th Block,2.9,23,300.0,Healthy Food,13.09893084459162,77.6867318362944
Dilish Kitchens,BTM,JP Nagar,3.7,29,500.0,"North Indian, Chinese",12.993567602624942,77.53276593344769
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,Residency Road,3.9,466,800.0,"Cafe, American, Continental, Steak",13.08411214042007,77.50176880538501
Martino's,Koramangala 1st Block,Koramangala 4th Block,3.6,30,350.0,"Italian, Pizza",13.004074443288193,77.51674424672966
On The Nose,BTM,Koramangala 4th Block,3.8,615,600.0,"Cafe, Italian, Mexican, Chinese",12.905798548999796,77.56516809339959
Momo Rice Noodles,Domlur,Indiranagar,3.2,84,600.0,"Chinese, Momos",13.01663903237661,77.6605281561555
Cafe D'hide,Koramangala 5th Block,Koramangala 4th Block,4.2,872,600.0,"Cafe, American, Continental, Italian",13.055528513935538,77.59672438259774
Desi Rasoi,Jayanagar,BTM,3.8,362,600.0,"Biryani, North Indian, Chinese, Rajasthani",13.06392497390953,77.55680390600669
Veganbreak24x7,City Market,Lavelle Road,2.8,5,199.0,"South Indian, Chinese, Continental, Biryani",13.003459299178015,77.51842293192018
Swad Plaza,BTM,JP Nagar,3.4,6,400.0,"North Indian, Chinese",12.961211839643235,77.5894140635864
Ram Bhog,Marathahalli,Bellandur,3.8,24,200.0,"Chinese, North Indian",13.015455805846626,77.52141476994306
Karavali Lunch Home,Kumaraswamy Layout,JP Nagar,3.7,51,350.0,"South Indian, Mangalorean",13.04955532765442,77.69825981573574
Hungry Hippie,Koramangala 5th Block,Koramangala 4th Block,4.3,1470,800.0,"Cafe, Continental, Italian, Burger",13.074028601110347,77.54791208800124
Catch-up-ino,Banashankari,Basavanagudi,3.9,133,800.0,"Cafe, Fast Food, Continental, Chinese, Momos",13.07684129266968,77.6315704763827
Punjab Junction,Whitefield,Whitefield,3.2,31,350.0,North Indian,13.033112431242424,77.68000181281182
Night Spoon,BTM,Koramangala 4th Block,2.6,54,600.0,"Biryani, Chinese, North Indian",13.021206690504076,77.55106592488168
Bubbles,Frazer Town,Kammanahalli,3.7,21,450.0,Cafe,13.06093432357111,77.68769041675613
Rekha Restaurant,Brookefield,Marathahalli,3.6,98,450.0,"North Indian, Chinese",12.911116126896816,77.57896407567713
Wat-a-Burger!,Jayanagar,BTM,4.0,108,500.0,"Burger, Sandwich, Beverages",12.975373376069438,77.63610027386139
SS Bucket Biryani,Frazer Town,Frazer Town,3.9,135,600.0,"Biryani, North Indian, Chinese",13.048327563723523,77.59198385411264
Smoothie Hub,BTM,Koramangala 5th Block,3.1,4,100.0,"Beverages, Sandwich",13.076635194122865,77.54272653213073
South Inn,Frazer Town,Residency Road,3.1,24,150.0,South Indian,12.963041798503944,77.6504017600488
Shree Nandini Andhra Mess,Koramangala 5th Block,BTM,3.3,5,150.0,Andhra,13.057607029915005,77.67505551255918
Punjab Grill,Malleshwaram,Malleshwaram,4.9,1940,2000.0,"North Indian, Mughlai",12.949413329084843,77.57252952330518
Popat,Indiranagar,Brigade Road,3.2,41,300.0,North Indian,12.912505259148569,77.63500213853617
Nutty Affair,HSR,Koramangala 4th Block,3.8,36,350.0,Desserts,12.993664861473711,77.53852091386149
Srinivasa Brahmins Bakery,Basavanagudi,Basavanagudi,3.6,16,150.0,"Bakery, Street Food",12.901045922708583,77.5014142032676
Mudpipe Cafe,BTM,Koramangala 5th Block,4.5,1879,900.0,"Cafe, Continental, Burger",12.904610556689043,77.67967998561417
Udupi Upachar,JP Nagar,Jayanagar,3.3,13,300.0,"South Indian, North Indian, Chinese, Street Food",13.032437177142366,77.69873286840158
Deja Vu Resto Bar,Bannerghatta Road,Bannerghatta Road,4.4,2488,900.0,"North Indian, Italian",12.939908490185829,77.55213367913352
Joon Restaurant,BTM,Koramangala 7th Block,3.7,31,400.0,"Arabian, Chinese, North Indian, Kerala, Juices",13.061327224345051,77.52310405080638
Kenny's Restaurant,Banaswadi,Frazer Town,3.7,87,450.0,Chinese,13.073819813744946,77.67908747710007
Chaitanya Veg,Shivajinagar,Church Street,3.2,5,300.0,South Indian,13.097855989021276,77.58135337919833
Chicken County,Majestic,Lavelle Road,3.8,136,650.0,"North Indian, Chinese",12.919407155701986,77.59241501540717
SLV Corner Restaurant,Basavanagudi,Basavanagudi,4.1,364,550.0,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",13.013403252197334,77.51495646102528
KF's Biryani's and Kababs,Koramangala 4th Block,Koramangala 7th Block,3.4,17,400.0,"Biryani, Kebab",12.952418779435991,77.51654530152986
Sherlock's Pub,Brookefield,Whitefield,3.3,273,1500.0,"Continental, North Indian, Chinese",12.912363046755946,77.56102004811783
Gelato Italiano,Kammanahalli,Brigade Road,3.2,4,200.0,"Ice Cream, Desserts, Bakery",12.95017860913822,77.66436181057745
The Terminus - The Oterra,Electronic City,Electronic City,4.0,119,2500.0,"Finger Food, Continental",12.925956593144523,77.54498950813796
Nandhanus Rasoi,Jayanagar,Basavanagudi,3.4,9,200.0,"Chinese, Rolls, North Indian",13.004191595454408,77.69684340291296
Shanmukha,Koramangala 5th Block,Koramangala 7th Block,4.0,788,800.0,"Biryani, Andhra, North Indian, Chinese",12.903905856059383,77.62358540071311
Halo Chef,Koramangala 4th Block,Koramangala 6th Block,3.9,144,500.0,North Indian,12.930175609364921,77.64349495346569
Punjabi Dawat,Bellandur,Marathahalli,2.9,253,400.0,"North Indian, Chinese",12.990626769744035,77.65095811842835
Zengi Pub & Restaurant,BTM,JP Nagar,3.7,32,900.0,"Finger Food, Continental, Chinese",12.955741469124142,77.5104887749628
